,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600000.SH,20230818,7.1,7.17,7.07,7.07,7.1,-0.03,-0.4225,281505.55,200372.019
1,600000.SH,20230817,7.13,7.14,7.05,7.1,7.14,-0.04,-0.5602,372024.84,263598.981
2,600000.SH,20230816,7.15,7.19,7.12,7.14,7.17,-0.03,-0.4184,229539.85,163923.269
3,600000.SH,20230815,7.12,7.19,7.09,7.17,7.1,0.07,0.9859,312186.57,222582.866
4,600000.SH,20230814,7.18,7.2,7.05,7.1,7.23,-0.13,-1.7981,442455.35,315007.728
5,600000.SH,20230811,7.44,7.44,7.23,7.23,7.42,-0.19,-2.5606,370511.27,270665.761
6,600000.SH,20230810,7.45,7.46,7.35,7.42,7.55,-0.13,-1.7219,528653.0,391107.894
7,600000.SH,20230809,7.5,7.55,7.47,7.55,7.52,0.03,0.3989,177925.71,133937.332
8,600000.SH,20230808,7.47,7.55,7.43,7.52,7.52,0.0,0.0,270012.47,202344.903
9,600000.SH,20230807,7.57,7.57,7.49,7.52,7.58,-0.06,-0.7916,260128.74,195449.522
10,600000.SH,20230804,7.59,7.65,7.54,7.58,7.56,0.02,0.2646,342568.17,260297.665
11,600000.SH,20230803,7.52,7.58,7.44,7.56,7.48,0.08,1.0695,293295.03,220449.825
12,600000.SH,20230802,7.56,7.59,7.43,7.48,7.6,-0.12,-1.5789,426545.33,319717.235
13,600000.SH,20230801,7.58,7.63,7.54,7.6,7.6,0.0,0.0,309342.66,234625.8
14,600000.SH,20230731,7.55,7.64,7.52,7.6,7.5,0.1,1.3333,528042.27,400087.143
15,600000.SH,20230728,7.33,7.52,7.33,7.5,7.37,0.13,1.7639,465288.27,347454.787
16,600000.SH,20230727,7.33,7.4,7.29,7.37,7.29,0.08,1.0974,261987.53,193006.451
17,600000.SH,20230726,7.28,7.34,7.26,7.29,7.27,0.02,0.2751,228180.33,166416.269
18,600000.SH,20230725,7.18,7.29,7.17,7.27,7.13,0.14,1.9635,314447.63,227784.692
19,600000.SH,20230724,7.08,7.16,7.07,7.13,7.12,0.01,0.1404,258402.1,184072.422
20,600000.SH,20230721,7.1,7.15,7.07,7.12,7.1,0.02,0.2817,276614.16,196813.979
21,600000.SH,20230720,7.43,7.48,7.4,7.42,7.41,0.01,0.135,266868.17,198503.271
22,600000.SH,20230719,7.36,7.43,7.36,7.41,7.39,0.02,0.2706,181895.77,134677.036
23,600000.SH,20230718,7.42,7.42,7.37,7.39,7.42,-0.03,-0.4043,120265.67,88895.175
24,600000.SH,20230717,7.44,7.45,7.35,7.42,7.44,-0.02,-0.2688,139920.76,103339.601
25,600000.SH,20230714,7.42,7.45,7.38,7.44,7.4,0.04,0.5405,195696.58,145348.73
26,600000.SH,20230713,7.3,7.4,7.27,7.4,7.25,0.15,2.069,269254.47,198390.792
27,600000.SH,20230712,7.28,7.32,7.25,7.25,7.28,-0.03,-0.4121,144145.43,105021.891
28,600000.SH,20230711,7.26,7.29,7.23,7.28,7.22,0.06,0.831,140741.91,102272.416
29,600000.SH,20230710,7.22,7.25,7.2,7.22,7.22,0.0,0.0,114106.53,82406.254
30,600000.SH,20230707,7.21,7.25,7.18,7.22,7.21,0.01,0.1387,147488.37,106398.636
31,600000.SH,20230706,7.25,7.27,7.19,7.21,7.25,-0.04,-0.5517,148274.0,107119.878
32,600000.SH,20230705,7.26,7.28,7.21,7.25,7.28,-0.03,-0.4121,113965.54,82596.378
